ps_CourseCode,course_Name,grade_Level,department,course_Id
603950002,e-Fit II (Honors),,,590591
0A007X0000,AP Research,High School,Misc,
0A007X0800,AP Research,High School,Misc,
0A017X0000,AP Seminar,High School,Misc,
0A017X0800,AP Seminar,High School,Misc,
0A027X0000,AP Computer Science Principles,High School,Misc,590325
0A027X0800,AP Computer Science Principles,High School,Misc,590325
0A027X080V,AP Computer Science Principles VPS,High School,Misc,
0C002X0111,ACA111 College Student Success,High School,CTE,
0C015X0000,COM231 Public Speaking,High School,Misc,
0C035X0000,HUM115 Critical Thinking,High School,Soc Stud,
0C055X0000,COM110 Introduction to Communication,High School,Misc,
0C065X0000,PHI215 Philosophical Issues,High School,Soc Stud,
0C075X0000,PHI240 Introduction to Ethics,High School,Soc Stud,
0C085X0000,COM120 Intro Interpersonal Com,High School,Soc Stud,
0C105X0000,HUM130 Myth in Human Culture,High School,Soc Stud,
0C115X0000,REL110 World Religions,High School,Soc Stud,
0C115X000V,World Religions VPS,High School,Soc Stud,
0C155X0000,REL211 Intro to Old Testament,High School,Misc,
0C175X0000,REL212 Intro to New Testament,High School,Soc Stud,
0C185X0000,HUM120 Cultural Studies,High School,Soc Stud,
0C205X0000,HUM160 Introduction to Film,High School,Soc Stud,
0C245X0000,REL111 Eastern Religions,High School,Misc,
0C385X0000,HUM211 Humanities I,High School,Misc,
0C415X0000,HUM212 Humanities II,High School,Misc,
0C435X0000,JOU110 Intro to Journalism,High School,Misc,
0C552X0011,ENG011 Writing and Inquiry Support,High School,Misc,
0C552X0122,ACA122 College Transfer Success,High School,Misc,
0C552X0SPL,SPA181 Spanish Lab 1,High School,Misc,
0I008X0810,IB Personal and Professional Skills I,High School,Misc,
0I008X0820,IB Personal and Professional Skills II,High School,Misc,
0I018X0810,IB Theory of Knowledge I,High School,Misc,
0I018X0820,IB Theory of Knowledge II,High School,Misc,
0V008X0800,CIE Global Perspectives & Research AS,High School,Misc,
0V028X0800,CIE Thinking Skills AS,High School,Misc,
10182X0001,Speech & Debate I,High School,ELA,
10182X0002,Speech & Debate II,High School,ELA,
10182X0801,Speech & Debate I,High School,ELA,
10182X0802,Speech & Debate II,High School,ELA,
10185X0803,Honors Speech & Debate III,High School,ELA,
10185X0804,Honors Speech & Debate IV,High School,ELA,
10252X0001,Creative Writing,High School,ELA,
10252X001V,Mythology & Folklore VPS,High School,ELA,
10252X0020,Literature & Film,High School,ELA,
10252X00CV,Creative Writing VPS,High School,ELA,
10252X0801,Creative Writing,High School,ELA,
10252X0820,Literature & Film,High School,ELA,
10252X0872,Literacy Internship I SI,High School,ELA,
10255X0010,Honors Leadership and Learning,High School,ELA,
10255X001V,Creative Writing Honors VPS,High School,ELA,
10255X0020,Honors Literature & Film,High School,ELA,
10255X0022,Honors Literature & Film II,High School,ELA,
10255X0810,Honors Leadership and Learning,High School,ELA,
10255X0820,Honors Literature & Film,High School,ELA,
10255X0822,Honors Literature & Film II,High School,ELA,
10262Y040V,Middle School Creative Writing VPS,High School,ELA,
10312X0000,Journalism I,High School,ELA,
10312X0001,Literary Magazine I,High School,ELA,
10312X0002,Newspaper I,High School,ELA,
10312X0004,Yearbook I,High School,ELA,
10312X0800,Journalism I,High School,ELA,
10312X0801,Literary Magazine I,High School,ELA,
10312X0802,Newspaper I,High School,ELA,
10312X0803,Photojournalism,High School,ELA,
10312X0804,Yearbook I,High School,ELA,
10312Y0004,Yearbook I,High School,ELA,
10312Y0400,Journalism I,High School,ELA,
10312Y0804,Yearbook I,High School,ELA,
10322X0001,Literary Magazine II,High School,ELA,
10322X0002,Newspaper II,High School,ELA,
10322X0004,Yearbook II,High School,ELA,
10322X0800,Journalism II,High School,ELA,
10322X0801,Literary Magazine II,High School,ELA,
10322X0802,Newspaper II,High School,ELA,
10322X0804,Yearbook II,High School,ELA,
10335X0000,Journalism III Honors,High School,ELA,
10335X0004,Yearbook III Honors,High School,ELA,
10335X0800,Journalism III Honors,High School,ELA,
10335X0801,Honors Literary Magazine III,High School,ELA,
10335X0802,Newspaper III Honors,High School,ELA,
10335X0804,Yearbook III Honors,High School,ELA,
10335X0805,Yearbook Editor III Honors,High School,ELA,
10345X0004,Yearbook IV Honors,High School,ELA,
10345X0801,Honors Literary Magazine IV,High School,ELA,
10345X0804,Yearbook IV Honors,High School,ELA,
10345X0805,Yearbook Editor IV Honors,High School,ELA,
10382X0070,PACE English Language Novice,High School,ELA,
10382X0071,PACE II English Language Intermediate,High School,ELA,
10382X0081,English Language Development 9 Novice,High School,ELA,
10382X0082,English Language Development 10 Novice,High School,ELA,
10382X0083,English Language Development 11 Novice,High School,ELA,
10382X0084,English Language Development 12 Novice,High School,ELA,
10382X0085,English Language Development 9 Intermed,High School,ELA,
10382X0086,English Language Development 9 Advanced,High School,ELA,
10382X0087,English Language Development 10 Intermed,High School,ELA,
10382X0088,English Language Development 10 Advanced,High School,ELA,
10382X0089,English Language Development 11 Intermed,High School,ELA,
10382X0090,English Language Development 11 Advanced,High School,ELA,
10382X0091,English Language Development 12 Intermed,High School,ELA,
10382X0092,English Language Development 12 Advanced,High School,ELA,
10382X0870,PACE English Language Novice,High School,ELA,
10382X0882,English Language Development 10 Novice,,,
10382X0883,English Language Development 11 Novice,,,
10382X0885,English Language Development 9 Intermed,,,
10382X0887,English Language Development 10 Intermed,,,
10382X0889,English Language Development 11 Intermed,,,
10382X0891,English Language Development 12 Intermed,,,
10382Y0800,English Language Dev 6 Novice Intermedia,,,
10382Y0801,English Language Dev 7 Novice Intermedia,,,
10382Y0802,English Language Dev 8 Novice Intermedia,,,
10382Y0902,English Language Dev 8 Novice Intermedia,,,
10502Z0900,ELA Kindergarten,Elementary School,ELA,589996
1050AZ0900,ELA Kindergarten,Elementary School,ELA,589996
10512Z0900,ELA Grade 1,Elementary School,ELA,589997
1051AZ0900,ELA Grade 1,Elementary School,ELA,589997
10522Z0900,ELA Grade 2,Elementary School,ELA,589998
1052AZ0900,ELA Grade 2,Elementary School,ELA,589998
10532Z0900,ELA Grade 3,Elementary School,ELA,589999
1053AZ0900,ELA Grade 3,Elementary School,ELA,589999
10542Z0900,ELA Grade 4,Elementary School,ELA,590000
1054AZ0900,ELA Grade 4,Elementary School,ELA,590000
10552Z0900,ELA Grade 5,Elementary School,ELA,590001
1055AZ0900,ELA Grade 5,Elementary School,ELA,590001
10562Y0800,ELA Grade 6,Middle School,ELA,590354
10562Y0806,Honors ELA Grade 6,Middle School,ELA,590355
10562Y0870,ELA Grade 6 SI,Middle School,ELA,
10562Y0881,ELA Grade 6 English Learner Intermediate,Middle School,ELA,
10562Y0882,ELA Grade 6 English Learner Advanced,Middle School,ELA,
10562Y0900,ELA Grade 6,Middle School,ELA,590354
10562Y0906,Honors ELA Grade 6,Middle School,ELA,590355
10562Y0920,ELA Cambridge Grade 6,Middle School,ELA,590355
10562Y0940,IB MYP ELA Grade 6,Middle School,ELA,
10562Y0941,IB MYP Honors ELA Grade 6,Middle School,ELA,
10562Y0980,ELA Grade 6 English Learner Novice,Middle School,ELA,
1056AY0900,ELA Grade 6,Middle School,ELA,590354
10572Y0800,ELA Grade 7,Middle School,ELA,590356
10572Y0807,Honors ELA Grade 7,Middle School,ELA,590357
10572Y0870,ELA Grade 7 SI,Middle School,ELA,
10572Y0880,ELA Grade 7 English Learner Novice,Middle School,ELA,
10572Y0881,ELA Grade 7 English Learner Intermediate,Middle School,ELA,
10572Y0882,ELA Grade 7 English Learner Advanced,Middle School,ELA,
10572Y0900,ELA Grade 7,Middle School,ELA,590356
10572Y0907,Honors ELA Grade 7,Middle School,ELA,590357
10572Y0920,ELA Cambridge Grade 7,Middle School,ELA,590357
10572Y0940,IB MYP ELA Grade 7,Middle School,ELA,
10572Y0941,IB MYP Honors ELA Grade 7,Middle School,ELA,
10572Y0980,ELA Grade 7 English Learner Novice,Middle School,ELA,
1057AY0900,ELA Grade 7,Middle School,ELA,590356
10582Y0800,ELA Grade 8,Middle School,ELA,590358
10582Y0808,Honors ELA Grade 8,Middle School,ELA,590359
10582Y0870,ELA Grade 8 SI,Middle School,ELA,
10582Y0900,ELA Grade 8,Middle School,ELA,590358
10582Y0908,Honors ELA Grade 8,Middle School,ELA,590359
10582Y0920,ELA Cambridge Grade 8,Middle School,ELA,590359
10582Y0940,IB MYP ELA Grade 8,Middle School,ELA,
10582Y0941,IB MYP Honors ELA Grade 8,Middle School,ELA,
10582Y0980,ELA Grade 8 English Learner Novice,Middle School,ELA,
1058AY0900,ELA Grade 8,Middle School,ELA,590358
11002Y0400,Middle School French,Middle School,World Lang,593157
11012X0000,French I,High School,World Lang,593162
11012X000V,French I VPS,High School,World Lang,
11012X0020,French I IGCSE,High School,World Lang,593162
11012X0040,IB MYP French I,High School,World Lang,593162
11012X0800,French I,High School,World Lang,593162
11012X080V,French I VPS,High School,World Lang,
11012X0820,French I IGCSE,High School,World Lang,593162
11012Y08ZV,French I (HS Cred) VPS,High School,World Lang,
11012YA800,French I (Part A) (HS Cred),High School,World Lang,593162
11012YB800,French I (Part B) (HS Cred),High School,World Lang,593162
11022X0000,French II,,,593169
11022X000V,French II VPS,,,
11022X0020,French II IGCSE,,,593169
11022X0040,IB MYP French II,,,593169
11022X0800,French II,,,593169
11022X080V,French II VPS,,,
11022X0820,French II IGCSE,,,593169
11022X0840,IB MYP French II,,,593169
11022Y0800,French II (HS Cred),,,593169
11022Y08ZV,French II (HS CRED) VPS,,,
11035X0000,Honors French III,,,593176
11035X0001,Honors French Civilization & Culture I,,,593182
11035X000V,Honors French III VPS,,,
11035X0040,IB MYP French III,,,593176
11035X0800,Honors French III,,,593176
11035X0820,French III IGCSE,,,593176
11035X0840,IB MYP French III,,,593176
11045X0000,Honors French IV,,,593180
11045X0001,Honors French Civilization & Culture II,,,593182
11045X0800,Honors French IV,,,593180
11065X0800,Honors French VI Literature,High School,World Lang,593182
11092YA800,French Heritage I/Immer-Pt A (HS Cred),Middle School,World Lang,593186
11092YB800,French Heritage I/Immer-Pt B (HS Cred),Middle School,World Lang,593187
11102Y0800,French Heritage II-Immersion (HS Cred),Middle School,World Lang,593188
11112Y6900,French DLI Literacy Grade 6,Middle School,World Lang,593182
11212X0000,Chinese I,High School,World Lang,593161
11212X000V,Mandarin Chinese Lang & Cult I VPS,,World Lang,
11212X0040,IB MYP Chinese I,High School,World Lang,593161
11212X0800,Chinese I,High School,World Lang,593161
11212X0830,Chinese I Asia Society,,World Lang,593161
11212X0840,IB MYP Chinese I,High School,World Lang,593161
11212YA800,Chinese I (Part A) (HS Cred),Middle School,World Lang,593161
11212YB800,Chinese I (Part B) (HS Cred),Middle School,World Lang,593161
11222X0000,Chinese II,High School,World Lang,593168
11222X0040,IB MYP Chinese II,High School,World Lang,593168
11222Y000V,Mandarin Chinese II (HS Cred) VPS,Middle School,World Lang,
11222Y0800,Chinese II (HS Cred),Middle School,World Lang,593168
11232Y000V,Mandarin Chinese III (HS Cred) VPS,,,
11235X0000,Honors Chinese III,,,593175
11235X0003,Honors Chinese Civilization & Culture I,,,593182
11235X000V,Honors Mandarin Chinese III VPS,,,
11235X0040,IB MYP Chinese III,,,593175
11235X0800,Honors Chinese III,,,593175
11235X0840,IB MYP Chinese III,,,593175
